1.584007968498e-02	9.426078628526e+02	
3.020812274651e-02	9.516161189553e+02	
4.384120992623e-02	9.606243750579e+02	
5.676127298356e-02	9.696326311605e+02	
6.910677873509e-02	9.786408872632e+02	
8.096036607156e-02	9.876491433658e+02	
9.236096813676e-02	9.966573994684e+02	
1.034379821366e-01	1.005665655571e+03	
1.142307935082e-01	1.014673911674e+03	
1.247727497309e-01	1.023682167776e+03	
1.350922332570e-01	1.032690423879e+03	
1.452135777631e-01	1.041698679982e+03	
1.551385659463e-01	1.050706936084e+03	
1.648973747345e-01	1.059715192187e+03	
1.745201528090e-01	1.068723448289e+03	
1.840198527618e-01	1.077731704392e+03	
1.933881880506e-01	1.086739960495e+03	
2.026407252715e-01	1.095748216597e+03	
2.118927550000e-01	1.104756472700e+03	
