2.215983250000e-01	1.646084395900e+03	
2.169193531256e-01	1.650409054489e+03	
2.122399058657e-01	1.654733713079e+03	
2.072264663718e-01	1.659058371668e+03	
2.020613384958e-01	1.663383030258e+03	
1.966548277701e-01	1.667707688847e+03	
1.908466253241e-01	1.672032347437e+03	
1.849818790399e-01	1.676357006026e+03	
1.782766710456e-01	1.680681664616e+03	
1.715714630512e-01	1.685006323205e+03	
1.638515606082e-01	1.689330981795e+03	
1.557947151690e-01	1.693655640384e+03	
1.470652156427e-01	1.697980298974e+03	
1.370382542858e-01	1.702304957563e+03	
1.256136634511e-01	1.706629616153e+03	
1.121827615547e-01	1.710954274742e+03	
9.509062955784e-02	1.715278933332e+03	
7.293526650106e-02	1.719603591921e+03	
4.107913174847e-02	1.723928250511e+03	
